web-scraper-order,web-scraper-start-url,data-page-selector,data-page-selector-href,Product-name-0,current_price-0,original_price-0,net_quantity-0,rating-0,review_count-0,product_type-0
1756118607-98,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹19₹22SAVE₹310 gThyme4(300),https://www.zeptonow.com/pn/thyme/pvid/728956d0-2704-4f6e-8f75-bea7ceae2fb7,Thyme,₹19,₹22,10 g,4,(300),Unbranded
1756118617-99,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹22₹25SAVE₹3250 gBrinjal Long Purple4.4(6.1k),https://www.zeptonow.com/pn/brinjal-long-purple/pvid/272a51c3-afd9-45ab-b4f6-0566d4ff1d27,Brinjal Long Purple,₹22,₹25,250 g,4.4,(6.1k),Unbranded
1756118624-100,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹69₹80SAVE₹11600 - 900 gSun Melon4(116),https://www.zeptonow.com/pn/sun-melon/pvid/00fdb970-1649-49e6-8d8b-0d2c738f1cce,Sun Melon,₹69,₹80,600 - 900 g,4,(116),Fruits
1756118628-101,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹85₹96SAVE₹112 pcsPear Green Imported4.5(2.7k),https://www.zeptonow.com/pn/pear-green-imported/pvid/3a954c1e-5511-45d1-9d26-f80dbe1d8a99,Pear Green Imported,₹85,₹96,2 pcs,4.5,(2.7k),Fruits
1756118630-102,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹21₹23SAVE₹2250 gBrinjal Nagpur4.3(8.1k),https://www.zeptonow.com/pn/brinjal-nagpur/pvid/79e339f8-fe4c-4fa2-adf9-7eb5454bb335,Brinjal Nagpur,₹21,₹23,250 g,4.3,(8.1k),Unbranded
1756118633-103,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹18₹20SAVE₹210 gRosemary4.6(8.1k),https://www.zeptonow.com/pn/rosemary/pvid/0db4bc7d-93bb-4db5-af86-cd2ec220a91f,Rosemary,₹18,₹20,10 g,4.6,(8.1k),Unbranded
1756118636-104,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹133₹150SAVE₹172 pcsApple Red Delicious4.4(3.6k),https://www.zeptonow.com/pn/apple-red-delicious/pvid/0511bee7-b11d-4fa1-94dd-fb73cde72b27,Apple Red Delicious,₹133,₹150,2 pcs,4.4,(3.6k),Fruits
1756118639-105,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹26₹29SAVE₹3250 gForest Bitter Gourd4(3.0k),https://www.zeptonow.com/pn/forest-bitter-gourd/pvid/8ec16480-aa08-40a8-9065-fa5a8e9bff78,Forest Bitter Gourd,₹26,₹29,250 g,4,(3.0k),No
1756118642-106,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹25₹29SAVE₹42 x (250 - 325 g)Mosambi4.1(26.0k),https://www.zeptonow.com/pn/mosambi/pvid/aadd01af-1df0-4843-ae4e-aac9297804de,Mosambi,₹25,₹29,2 x (250 - 325 g),4.1,(26.0k),Fruits
1756118644-107,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹60₹66SAVE₹6500 gColocasia (Arbi)4.4(3.8k),https://www.zeptonow.com/pn/colocasia-arbi/pvid/35cd777c-95c1-4303-8e13-a4972a4b6464,Colocasia (Arbi),₹60,₹66,500 g,4.4,(3.8k),No
1756118650-108,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹34₹39SAVE₹5250 gCelery4.5(1.7k),https://www.zeptonow.com/pn/celery/pvid/b999f05e-4c07-4ac5-a077-e0d150307e5c,Celery,₹34,₹39,250 g,4.5,(1.7k),Unbranded
