url,title,price,agency_name,agency_contact_number,governorate,area,property_type,property_size,rate_per_sqft,rooms,bathrooms,roads,parking,built_up_area,classification
https://baity.bh/properties/land-in-al-hidd-14801,Land in Al Hidd,102990,Grnata Real Estate,97336005571,Muharraq,Al Hidd,PLOT,368,26,,,1,,,RB
https://baity.bh/properties/land-in-hamala-14965,Land in Hamala,52151,Grnata Real Estate,97336005571,Northern,Hamala,PLOT,161.5,30,,,1,,,RHA
https://baity.bh/properties/villa-in-al-hidd-34715,Villa in Al Hidd,280000,Grnata Real Estate,97336005571,Muharraq,Al Hidd,VILLA,352.2,73.9,7,10,1,2,550,MOH
https://baity.bh/properties/land-in-hamala-29824,Land in Hamala,70578,Delmon Gate,17598666,Northern,Hamala,PLOT,226.1,29,,,1,,,RHA
https://baity.bh/properties/land-in-isa-town-37159,Land in Isa Town,100000,Grnata Real Estate,97336005571,Capital,Isa Town,PLOT,380.6,24.4,,,1,,,MOH
https://baity.bh/properties/land-in-aali-41811,Land in A'ali,125177,Majestic Properties,39655161,Northern,A'ali,PLOT,421.4,27.6,,,1,,,RA
https://baity.bh/properties/land-in-bu-ghazal-41650,Land in Bu Ghazal,209548,House Me,38777992,Capital,Bu Ghazal,PLOT,599,32.5,,,1,,,RA
https://baity.bh/properties/apartment-in-amwaj-36044,Apartment in Amwaj,55000,Best Location,38868838,Muharraq,Amwaj,APARTMENT,118,43.3,2,3,,2,,
https://baity.bh/properties/villa-in-bani-jamra-15137,Villa in Bani Jamra,148065,Grnata Real Estate,97336005571,Northern,Bani Jamra,VILLA,225.1,,4,4,1,2,305,RHA
https://baity.bh/properties/land-in-hamala-38140,Land in Hamala,55154,Fajar AlKhalij Real Estate,17778866,Northern,Hamala,PLOT,170.8,30,,,1,,,RHA
https://baity.bh/properties/land-in-jurdab-36884,Land in Jurdab,121237,Best Spot Real Estate,77991118,Capital,Jurdab,PLOT,469.3,24,,,1,,,RA
https://baity.bh/properties/land-in-sanad-21710,Land in Sanad,240510,House Me,38777992,Capital,Sanad,PLOT,798,28,,,1,,,RA
https://baity.bh/properties/land-in-askar-23285,Land in Askar,92225,Domains Real Estate,39333709,Southern,Askar,PLOT,339,25.3,,,1,,,RA
https://baity.bh/properties/land-in-jaww-37224,Land in Jaww,80000,ALAMTHAL Real Estate,13100190,Southern,Jaww,PLOT,525,14.2,,,2,,,RA
https://baity.bh/properties/land-in-nuwaidrat-38138,Land in Nuwaidrat,90787,Fajar AlKhalij Real Estate,17778866,Capital,Nuwaidrat,PLOT,324.4,26,,,1,,,RA
https://baity.bh/properties/land-in-budaiya-13954,Land in Budaiya,65000,Grnata Real Estate,97336005571,Northern,Budaiya,PLOT,230.1,26.2,,,2,,,RB
https://baity.bh/properties/land-in-qalali-42989,Land in Qalali,99046,Carlton Real Estate,39502200,Muharraq,Qalali,PLOT,324,28.4,,,2,,,RA
https://baity.bh/properties/apartment-in-seef-20407,Apartment in Seef,73000,Best Location,38868838,Capital,Seef,APARTMENT,140,48.4,1,2,,1,,
https://baity.bh/properties/land-in-hamala-23541,Land in Hamala,56993,Alhoor Real Estate,17640060,Northern,Hamala,PLOT,170.8,31,,,1,,,RHA
https://baity.bh/properties/land-in-samaheej-35237,Land in Samaheej,74400,Taiba Real Estate,17610600,Muharraq,Samaheej,PLOT,209.7,33,,,2,,,RHA
https://baity.bh/properties/land-in-salmabad-20769,Land in Salmabad,128905.4,Best Location,38868838,Northern,Salmabad,PLOT,460.6,26,,,1,,,RB
https://baity.bh/properties/villa-in-al-malikiyah-35926,Villa in Al Malikiyah,115000,Lakum Real Estate,33663365,Northern,Al Malikiyah,VILLA,168,63.6,5,6,1,1,269,RHA
https://baity.bh/properties/land-in-sadad-32184,Land in Sadad,95230,Best Location,38868838,Northern,Sadad,PLOT,327.7,27,,,1,,,RA
https://baity.bh/properties/land-in-shakhurah-22507,Land in Shakhurah,194161.03,Alsitri Real Estate,17583351,Northern,Shakhurah,PLOT,622,29,,,2,,,RB
https://baity.bh/properties/villa-in-arad-37966,Villa in Arad,125000,Carlton Real Estate,39502200,Muharraq,Arad,VILLA,219,53,3,3,2,2,209,RHA
https://baity.bh/properties/land-in-askar-14585,Land in Askar,100643,Grnata Real Estate,97336005571,Southern,Askar,PLOT,425,22,,,1,,,RA
https://baity.bh/properties/land-in-diraz-18869,Land in Diraz,117284.54,SAYED MAHDI REAL ESTATE AGENCY,17244399,Northern,Diraz,PLOT,340.5,32,,,1,,,RA
https://baity.bh/properties/land-in-hamala-29210,Land in Hamala,72000,Majestic Properties,39655161,Northern,Hamala,PLOT,210.6,31.8,,,1,,,RHA
https://baity.bh/properties/land-in-tubli-21375,Land in Tubli,217648,Grnata Real Estate,97336005571,Capital,Tubli,PLOT,1011,20,,,1,,,RA
https://baity.bh/properties/land-in-aali-31292,Land in A'ali,158263,Grnata Real Estate,97336005571,Northern,A'ali,PLOT,507,29,,,2,,,RA
https://baity.bh/properties/land-in-riffa-34615,Land in Riffa,80000,Al Mahd Real Estate,39919966,Southern,Riffa,PLOT,234.9,31.6,,,2,,,RB
https://baity.bh/properties/land-in-jidhafs-15964,Land in Jidhafs,95245,Delmon Gate,17598666,Northern,Jidhafs,PLOT,347,25.5,,,2,,,RB
https://baity.bh/properties/land-in-aali-35182,Land in A'ali,107597,Al Mahd Real Estate,39919966,Northern,A'ali,PLOT,333.2,30,,,1,,,RB
https://baity.bh/properties/land-in-tubli-40184,Land in Tubli,193267,Elite Home Real Estate,66601964,Capital,Tubli,PLOT,798,22.5,,,1,,,RA
https://baity.bh/properties/land-in-tubli-34599,Land in Tubli,132666,Best Spot Real Estate,77991118,Capital,Tubli,PLOT,425,29,,,2,,,RB
https://baity.bh/properties/apartment-in-shakhurah-41632,Apartment in Shakhurah,75000,House Me,38777992,Northern,Shakhurah,APARTMENT,205,34,3,3,,0,,
https://baity.bh/properties/villa-in-janabiyah-34666,Villa in Janabiyah,195000,Domains Real Estate,39333709,Northern,Janabiyah,VILLA,353,51.3,3,2,1,2,350,RA
https://baity.bh/properties/villa-in-hamala-18610,Villa in Hamala,125000,Delmon Gate,17598666,Northern,Hamala,VILLA,165.5,70.16787523815,3,4,1,2,250,RHA
https://baity.bh/properties/land-in-hamala-38783,Land in Hamala,69500,Best Location,38868838,Northern,Hamala,PLOT,226.1,28.6,,,1,,,RHA
https://baity.bh/properties/land-in-hamala-23116,Land in Hamala,71306,Effects Real Estate,39975454,Northern,Hamala,PLOT,224.5,29.5,,,1,,,RHA
https://baity.bh/properties/land-in-dar-kulaib-31773,Land in Dar Kulaib,79500,Al Mahd Real Estate,39919966,Northern,Dar Kulaib,PLOT,255,29,,,1,,,RHB
https://baity.bh/properties/land-in-budaiya-37567,Land in Budaiya,98000,Amaken Real Estate,17820082,Northern,Budaiya,PLOT,381,23.9,,,1,,,RB
https://baity.bh/properties/land-in-maqabah-18957,Land in Maqabah,137241,Delmon Gate,17598666,Northern,Maqabah,PLOT,425,30,,,2,,,RA
https://baity.bh/properties/land-in-karzakkan-40754,Land in Karzakkan,80271,Carlton Real Estate,39502200,Northern,Karzakkan,PLOT,276.2,27,,,1,,,RA
